ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
246,2015,Guiana (France),91000.0,South America,257920.0,0.0
247,2016,Guiana (France),91000.0,South America,264435.0,0.0
248,2017,Guiana (France),91000.0,South America,271537.0,0.0
249,2018,Guiana (France),91000.0,South America,279094.0,0.0
250,2019,Guiana (France),91000.0,South America,286912.0,0.0
251,2020,Guiana (France),91000.0,South America,294774.0,0.0
252,2021,Guiana (France),91000.0,South America,302945.0,0.0
253,2022,Guiana (France),91000.0,South America,311343.0,0.0
254,2000,Chile,756950.0,South America,15351799.0,78249883995.63
255,2001,Chile,756950.0,South America,15523978.0,71517267767.74
256,2002,Chile,756950.0,South America,15693790.0,70295232513.05
257,2003,Chile,756950.0,South America,15859112.0,76507853875.66
258,2004,Chile,756950.0,South America,16017966.0,99079365628.33
259,2005,Chile,756950.0,South America,16175311.0,122314960843.92
260,2006,Chile,756950.0,South America,16334575.0,153840051814.06
261,2007,Chile,756950.0,South America,16495538.0,172565861848.9
262,2008,Chile,756950.0,South America,16661462.0,179663390874.65
263,2009,Chile,756950.0,South America,16833447.0,171412643623.96
264,2010,Chile,756950.0,South America,17004162.0,217105434199.5
265,2011,Chile,756950.0,South America,17173573.0,251224856981.29
266,2012,Chile,756950.0,South America,17341771.0,267175870677.66
267,2013,Chile,756950.0,South America,17509925.0,277239473853.81
268,2014,Chile,756950.0,South America,17687108.0,259405194672.94
269,2015,Chile,756950.0,South America,17870124.0,242496655711.52
270,2016,Chile,756950.0,South America,18083879.0,249298706449.18
271,2017,Chile,756950.0,South America,18368577.0,276364936832.33
272,2018,Chile,756950.0,South America,18701450.0,295402646018.15
273,2019,Chile,756950.0,South America,19039485.0,278493308134.1
274,2020,Chile,756950.0,South America,19300315.0,254096103516.32
275,2021,Chile,756950.0,South America,19493184.0,316713577508.67
276,2022,Chile,756950.0,South America,19603733.0,301025249437.95
277,2000,Ecuador,283560.0,South America,12626507.0,18327764882.44
278,2001,Ecuador,283560.0,South America,12845521.0,24468324000.0
279,2002,Ecuador,283560.0,South America,13070609.0,28548945000.0
280,2003,Ecuador,283560.0,South America,13301184.0,32432858000.0
281,2004,Ecuador,283560.0,South America,13534593.0,36591661000.0
282,2005,Ecuador,283560.0,South America,13770012.0,41507085000.0
283,2006,Ecuador,283560.0,South America,14009061.0,46802044000.0
284,2007,Ecuador,283560.0,South America,14251835.0,51007777000.0
285,2008,Ecuador,283560.0,South America,14496797.0,61762635000.0
286,2009,Ecuador,283560.0,South America,14742766.0,62519686000.0
287,2010,Ecuador,283560.0,South America,14989585.0,69555367000.0
288,2011,Ecuador,283560.0,South America,15237728.0,79276664000.0
289,2012,Ecuador,283560.0,South America,15483883.0,87924544000.0
290,2013,Ecuador,283560.0,South America,15722989.0,95129659000.0
291,2014,Ecuador,283560.0,South America,15957994.0,101726331000.0
292,2015,Ecuador,283560.0,South America,16195902.0,99290381000.0
293,2016,Ecuador,283560.0,South America,16439585.0,99937696000.0
294,2017,Ecuador,283560.0,South America,16696944.0,104295862000.0
295,2018,Ecuador,283560.0,South America,17015672.0,107562008000.0
296,2019,Ecuador,283560.0,South America,17343740.0,108108009000.0
297,2020,Ecuador,283560.0,South America,17588595.0,99291124000.0
298,2021,Ecuador,283560.0,South America,17797737.0,106165866000.0
299,2022,Ecuador,283560.0,South America,18001000.0,115049476000.0
300,2000,Antigua and Barbuda,447.0,North America,75055.0,826370370.37
301,2001,Antigua and Barbuda,447.0,North America,76215.0,800481481.48
302,2002,Antigua and Barbuda,447.0,North America,77195.0,814381481.48
303,2003,Antigua and Barbuda,447.0,North America,78075.0,856396296.3
304,2004,Antigua and Barbuda,447.0,North America,78941.0,919729629.63
305,2005,Antigua and Barbuda,447.0,North America,79869.0,1022962962.96
306,2006,Antigua and Barbuda,447.0,North America,80895.0,1157662962.96
307,2007,Antigua and Barbuda,447.0,North America,82016.0,1312759259.26
308,2008,Antigua and Barbuda,447.0,North America,83251.0,1370070370.37
